attendee_id,direction,origin_lat,origin_lng,destination_lat,destination_lng,departure_time
A00001,departure,51.3654602,5.6171188,51.49987310839164,5.43323252389715,2025-05-17T13:16:00+0200
A00001,return,51.49987310839164,5.43323252389715,51.3654602,5.6171188,2025-05-17T00:24:00+0200
A00002,departure,52.8478031,6.1881973,51.49987310839164,5.43323252389715,2025-05-17T19:13:00+0200
A00002,return,51.49987310839164,5.43323252389715,52.8478031,6.1881973,2025-05-17T00:28:00+0200
A00003,departure,51.4620106,5.4126478,51.49987310839164,5.43323252389715,2025-05-17T16:30:00+0200
A00003,return,51.49987310839164,5.43323252389715,51.4620106,5.4126478,2025-05-17T23:56:00+0200
A00004,departure,53.3084568,6.774512,51.49987310839164,5.43323252389715,2025-05-17T16:44:00+0200
A00004,return,51.49987310839164,5.43323252389715,53.3084568,6.774512,2025-05-17T00:26:00+0200
A00005,departure,52.5419493,6.0100946,51.49987310839164,5.43323252389715,2025-05-17T15:12:00+0200
A00005,return,51.49987310839164,5.43323252389715,52.5419493,6.0100946,2025-05-17T23:34:00+0200
A00006,departure,51.6546928,5.3283622,51.49987310839164,5.43323252389715,2025-05-17T17:15:00+0200
A00006,return,51.49987310839164,5.43323252389715,51.6546928,5.3283622,2025-05-17T23:03:00+0200
A00007,departure,52.2076762,4.7562444,51.49987310839164,5.43323252389715,2025-05-17T15:42:00+0200
A00007,return,51.49987310839164,5.43323252389715,52.2076762,4.7562444,2025-05-17T22:55:00+0200
A00008,departure,51.4017692,5.4322802,51.49987310839164,5.43323252389715,2025-05-17T16:28:00+0200
A00008,return,51.49987310839164,5.43323252389715,51.4017692,5.4322802,2025-05-17T00:26:00+0200
A00009,departure,51.4944764,5.4501427,51.49987310839164,5.43323252389715,2025-05-17T15:00:00+0200
A00009,return,51.49987310839164,5.43323252389715,51.4944764,5.4501427,2025-05-17T23:52:00+0200
A00010,departure,52.4878154,5.0831375,51.49987310839164,5.43323252389715,2025-05-17T15:57:00+0200
A00010,return,51.49987310839164,5.43323252389715,52.4878154,5.0831375,2025-05-17T00:10:00+0200
A00011,departure,51.5770527,3.9833385,51.49987310839164,5.43323252389715,2025-05-17T15:37:00+0200
A00011,return,51.49987310839164,5.43323252389715,51.5770527,3.9833385,2025-05-17T23:12:00+0200
A00012,departure,51.9040747,4.5616794,51.49987310839164,5.43323252389715,2025-05-17T15:23:00+0200
A00012,return,51.49987310839164,5.43323252389715,51.9040747,4.5616794,2025-05-17T23:21:00+0200
A00013,departure,53.194695,5.8107147,51.49987310839164,5.43323252389715,2025-05-17T18:25:00+0200
A00013,return,51.49987310839164,5.43323252389715,53.194695,5.8107147,2025-05-17T23:00:00+0200
