attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg1_from_lat,leg1_from_lng,leg1_to_lat,leg1_to_lng,leg1_from_scheduledTime,leg1_to_scheduledTime,leg1_roads,leg1_route,total_duration,total_length,leg2_mode,leg2_length,leg2_duration,leg2_from_lat,leg2_from_lng,leg2_to_lat,leg2_to_lng,leg2_from_scheduledTime,leg2_to_scheduledTime,leg2_roads,leg2_route,leg3_mode,leg3_length,leg3_duration,leg3_from_lat,leg3_from_lng,leg3_to_lat,leg3_to_lng,leg3_from_scheduledTime,leg3_to_scheduledTime,leg3_roads,leg3_route,leg4_mode,leg4_length,leg4_duration,leg4_from_lat,leg4_from_lng,leg4_to_lat,leg4_to_lng,leg4_from_scheduledTime,leg4_to_scheduledTime,leg4_roads,leg4_route,leg5_mode,leg5_length,leg5_duration,leg5_from_lat,leg5_from_lng,leg5_to_lat,leg5_to_lng,leg5_from_scheduledTime,leg5_to_scheduledTime,leg5_roads,leg5_route,leg6_mode,leg6_length,leg6_duration,leg6_from_lat,leg6_from_lng,leg6_to_lat,leg6_to_lng,leg6_from_scheduledTime,leg6_to_scheduledTime,leg6_roads,leg6_route,leg7_mode,leg7_length,leg7_duration,leg7_from_lat,leg7_from_lng,leg7_to_lat,leg7_to_lng,leg7_from_scheduledTime,leg7_to_scheduledTime,leg7_roads,leg7_route,leg8_mode,leg8_length,leg8_duration,leg8_from_lat,leg8_from_lng,leg8_to_lat,leg8_to_lng,leg8_from_scheduledTime,leg8_to_scheduledTime,leg8_roads,leg8_route,leg9_mode,leg9_length,leg9_duration,leg9_from_lat,leg9_from_lng,leg9_to_lat,leg9_to_lng,leg9_from_scheduledTime,leg9_to_scheduledTime,leg9_roads,leg9_route,leg10_mode,leg10_length,leg10_duration,leg10_from_lat,leg10_from_lng,leg10_to_lat,leg10_to_lng,leg10_from_scheduledTime,leg10_to_scheduledTime,leg10_roads,leg10_route,leg11_mode,leg11_length,leg11_duration,leg11_from_lat,leg11_from_lng,leg11_to_lat,leg11_to_lng,leg11_from_scheduledTime,leg11_to_scheduledTime,leg11_roads,leg11_route,leg12_mode,leg12_length,leg12_duration,leg12_from_lat,leg12_from_lng,leg12_to_lat,leg12_to_lng,leg12_from_scheduledTime,leg12_to_scheduledTime,leg12_roads,leg12_route,leg13_mode,leg13_length,leg13_duration,leg13_from_lat,leg13_from_lng,leg13_to_lat,leg13_to_lng,leg13_from_scheduledTime,leg13_to_scheduledTime,leg13_roads,leg13_route,leg14_mode,leg14_length,leg14_duration,leg14_from_lat,leg14_from_lng,leg14_to_lat,leg14_to_lng,leg14_from_scheduledTime,leg14_to_scheduledTime,leg14_roads,leg14_route,leg15_mode,leg15_length,leg15_duration,leg15_from_lat,leg15_from_lng,leg15_to_lat,leg15_to_lng,leg15_from_scheduledTime,leg15_to_scheduledTime,leg15_roads,leg15_route
A00001,departure,1,BICYCLE,26.31475,92.31666666666666,51.3654602,5.6171188,51.4998731,5.4332325,2025-05-17T13:16:00+02:00,2025-05-17T14:48:19+02:00,"service road, Vlaamseweg, Heezerweg, Sterkselseweg, Ginderover, Nieuwendijk, road, Oude Stationsstraat, Emmerikstraat, Kruis, Oudenmolen, Muggenberg, bike path, Muggenberg, De Sandermannen, bike path, bike path, bike path, bike path, bike path, bike path, Genoenhuis, Gijzenrooiseweg, Rondje Eindhoven - Hoofdroute, de Hooge Akker, Rondje Eindhoven - Hoofdroute, Kanaaldijk-Zuid, Kanaalstraat, Kanaalstraat, Vestdijk, Vestdijktunnel, Fellenoordpad, Kruisstraattunnel, Kruisstraattunnel, Kruisstraat, Woenselse Markt, Kloosterdreef, bike path, Europalaan, Doctor Berlagelaan, Oude Bossche Baan, Oude Bossche Baan, Rondje Eindhoven - Hoofdroute, Rondje Eindhoven - Hoofdroute, bike path, Ekkersweijer, bike path, bike path, bike path, Ekkersweijer, Ekkersweijer",,92.31666666666666,26.31475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00001,return,1,BICYCLE,26.31475,92.31666666666666,51.3654602,5.6171188,51.4998731,5.4332325,2025-05-17T13:16:00+02:00,2025-05-17T14:48:19+02:00,"service road, Vlaamseweg, Heezerweg, Sterkselseweg, Ginderover, Nieuwendijk, road, Oude Stationsstraat, Emmerikstraat, Kruis, Oudenmolen, Muggenberg, bike path, Muggenberg, De Sandermannen, bike path, bike path, bike path, bike path, bike path, bike path, Genoenhuis, Gijzenrooiseweg, Rondje Eindhoven - Hoofdroute, de Hooge Akker, Rondje Eindhoven - Hoofdroute, Kanaaldijk-Zuid, Kanaalstraat, Kanaalstraat, Vestdijk, Vestdijktunnel, Fellenoordpad, Kruisstraattunnel, Kruisstraattunnel, Kruisstraat, Woenselse Markt, Kloosterdreef, bike path, Europalaan, Doctor Berlagelaan, Oude Bossche Baan, Oude Bossche Baan, Rondje Eindhoven - Hoofdroute, Rondje Eindhoven - Hoofdroute, bike path, Ekkersweijer, bike path, bike path, bike path, Ekkersweijer, Ekkersweijer",,92.31666666666666,26.31475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00002,return,1,CAR,189.38953,122.73333333333333,52.8478031,6.1881973,51.4998731,5.4332325,2025-05-17T19:13:00+02:00,2025-05-17T21:15:44+02:00,"service road, Koningin Wilhelminalaan, N855, Majoor van Swietenlaan, Burgemeester Wynoldyweg, Van Helomaweg, N353, van Helomaweg, N353, van Helomaweg, Rijksweg ZZ, Rijksweg, N371, Rijksweg, ramp, A32, E232, A28, ramp, A50, ramp, A50, ramp, A50, Delhuijzenweg, A50, Delhuijzenweg, Europaweg, A50, Slenkweg, A50, E31, A50, A50, Dassenbaan, A50, ramp, road, ramp, A50, ramp, Bestseweg, Hoberglaan, Kanaaldijk Noord, N.C.B.-weg, N.C.B.-weg, Kanaaldijk, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,122.73333333333333,189.38953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00002,departure,1,CAR,189.38953,122.73333333333333,52.8478031,6.1881973,51.4998731,5.4332325,2025-05-17T19:13:00+02:00,2025-05-17T21:15:44+02:00,"service road, Koningin Wilhelminalaan, N855, Majoor van Swietenlaan, Burgemeester Wynoldyweg, Van Helomaweg, N353, van Helomaweg, N353, van Helomaweg, Rijksweg ZZ, Rijksweg, N371, Rijksweg, ramp, A32, E232, A28, ramp, A50, ramp, A50, ramp, A50, Delhuijzenweg, A50, Delhuijzenweg, Europaweg, A50, Slenkweg, A50, E31, A50, A50, Dassenbaan, A50, ramp, road, ramp, A50, ramp, Bestseweg, Hoberglaan, Kanaaldijk Noord, N.C.B.-weg, N.C.B.-weg, Kanaaldijk, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,122.73333333333333,189.38953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00003,departure,1,CAR,9.73232,8.966666666666667,51.4620106,5.4126478,51.4998731,5.4332325,2025-05-17T16:30:00+02:00,2025-05-17T16:38:58+02:00,"Anthony Fokkerweg, ramp, Tilburgseweg, Postkoetsweg, Boschdijk, A2, E25, ramp, Eindhovenseweg-Zuid, road, road, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,8.966666666666667,9.73232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00003,return,1,CAR,9.73232,8.966666666666667,51.4620106,5.4126478,51.4998731,5.4332325,2025-05-17T16:30:00+02:00,2025-05-17T16:38:58+02:00,"Anthony Fokkerweg, ramp, Tilburgseweg, Postkoetsweg, Boschdijk, A2, E25, ramp, Eindhovenseweg-Zuid, road, road, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,8.966666666666667,9.73232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00004,return,1,CAR,267.46029,172.15,53.3084568,6.774512,51.4998731,5.4332325,2025-05-17T16:44:00+02:00,2025-05-17T19:36:09+02:00,"Hoeksmeersterweg, Stadsweg, Wijmersweg, N360, Rijksweg, N360, Rijksweg, N360, Rijksweg, N360, Rijksweg, Beneluxweg, Beneluxweg, Beneluxweg, ramp, Weg der Verenigde Naties, Julianaweg, Rijksweg, E232, A28, Rijksweg, E232, A28, E232, A28, ramp, A50, ramp, A50, ramp, A50, Delhuijzenweg, A50, Delhuijzenweg, Europaweg, A50, Slenkweg, A50, E31, A50, A50, Dassenbaan, A50, ramp, road, ramp, A50, ramp, Bestseweg, Hoberglaan, Kanaaldijk Noord, N.C.B.-weg, N.C.B.-weg, Kanaaldijk, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,172.15,267.46029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00004,departure,1,CAR,267.46029,172.15,53.3084568,6.774512,51.4998731,5.4332325,2025-05-17T16:44:00+02:00,2025-05-17T19:36:09+02:00,"Hoeksmeersterweg, Stadsweg, Wijmersweg, N360, Rijksweg, N360, Rijksweg, N360, Rijksweg, N360, Rijksweg, Beneluxweg, Beneluxweg, Beneluxweg, ramp, Weg der Verenigde Naties, Julianaweg, Rijksweg, E232, A28, Rijksweg, E232, A28, E232, A28, ramp, A50, ramp, A50, ramp, A50, Delhuijzenweg, A50, Delhuijzenweg, Europaweg, A50, Slenkweg, A50, E31, A50, A50, Dassenbaan, A50, ramp, road, ramp, A50, ramp, Bestseweg, Hoberglaan, Kanaaldijk Noord, N.C.B.-weg, N.C.B.-weg, Kanaaldijk, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,172.15,267.46029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00005,return,1,CAR,151.49776,98.46666666666667,52.5419493,6.0100946,51.4998731,5.4332325,2025-05-17T15:12:00+02:00,2025-05-17T16:50:28+02:00,"Bisschopswetering, Zwolseweg, Hasselterweg, Hasselterweg, Westenholterallee, ramp, E232, A28, ramp, A50, ramp, A50, ramp, A50, Delhuijzenweg, A50, Delhuijzenweg, Europaweg, A50, Slenkweg, A50, E31, A50, A50, Dassenbaan, A50, ramp, road, ramp, A50, ramp, Bestseweg, Hoberglaan, Kanaaldijk Noord, N.C.B.-weg, N.C.B.-weg, Kanaaldijk, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,98.46666666666667,151.49776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00005,departure,1,CAR,151.49776,98.46666666666667,52.5419493,6.0100946,51.4998731,5.4332325,2025-05-17T15:12:00+02:00,2025-05-17T16:50:28+02:00,"Bisschopswetering, Zwolseweg, Hasselterweg, Hasselterweg, Westenholterallee, ramp, E232, A28, ramp, A50, ramp, A50, ramp, A50, Delhuijzenweg, A50, Delhuijzenweg, Europaweg, A50, Slenkweg, A50, E31, A50, A50, Dassenbaan, A50, ramp, road, ramp, A50, ramp, Bestseweg, Hoberglaan, Kanaaldijk Noord, N.C.B.-weg, N.C.B.-weg, Kanaaldijk, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,98.46666666666667,151.49776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
